category,count,trad_ml_error,zero_shot_error,few_shot_error
general,59,0.2542372881355932,0.22033898305084745,0.2033898305084746
long,3,1.0,0.0,0.0
political,13,0.23076923076923078,0.38461538461538464,0.15384615384615385
science,3,0.0,0.3333333333333333,0.3333333333333333
short,18,0.4444444444444444,0.3888888888888889,0.3888888888888889
sports,4,0.25,0.25,0.0
